,0,1
639,359,482
640,360,481
641,361,480
642,362,479
643,363,480
644,364,480
645,365,480
646,366,479
647,367,478
648,368,477
649,368,476
650,368,475
651,369,474
652,370,474
653,371,473
654,372,473
655,373,474
656,374,474
657,375,474
658,376,474
659,377,473
660,378,472
661,379,471
662,380,471
663,381,471
664,382,470
665,383,470
666,384,469
667,385,468
668,386,468
669,387,468
670,388,468
671,389,468
672,390,469
673,391,469
674,392,469
675,393,468
676,394,467
677,395,467
678,396,467
679,397,467
680,398,467
681,399,467
682,400,466
683,401,465
684,402,465
685,403,464
686,404,463
687,405,463
688,406,463
689,407,463
690,408,463
691,409,463
692,410,462
693,411,462
694,412,461
695,413,460
696,412,459
697,412,458
698,412,457
699,413,456
700,414,457
701,415,457
702,416,457
703,417,458
704,417,459
705,417,460
706,417,461
707,418,462
708,418,463
709,418,464
710,419,465
711,420,465
712,421,465
713,422,465
714,423,466
715,424,467
716,425,468
717,426,468
718,427,468
719,428,467
720,429,467
721,430,467
722,431,467
723,432,467
724,432,468
725,432,469
726,431,470
727,431,471
728,431,472
729,431,473
730,431,474
731,430,475
732,431,476
733,432,476
734,433,476
735,434,475
736,435,474
737,436,474
738,437,474
739,438,474
740,439,473
741,440,472
742,441,472
743,442,472
744,442,473
745,442,474
746,441,475
747,441,476
748,441,477
749,441,478
750,442,479
751,443,480
752,444,480
753,445,480
754,446,481
755,446,482
756,447,483
757,448,483
758,449,484
759,450,485
760,451,485
761,452,484
762,452,483
763,453,482
764,454,482
765,455,481
766,456,480
767,456,479
768,456,478
769,456,477
770,456,476
771,456,475
772,457,474
773,458,474
774,459,474
775,460,473
776,461,473
777,462,473
778,463,473
779,464,473
780,465,474
781,466,475
782,465,476
783,464,476
784,463,476
785,462,477
786,462,478
787,463,479
788,463,480
789,464,481
790,464,482
791,465,483
792,466,484
793,467,483
794,467,484
795,467,482
796,468,481
797,469,480
798,470,481
799,471,482
800,471,483
801,471,484
802,471,485
803,472,486
804,473,485
805,474,484
806,475,483
807,475,482
808,475,481
809,476,480
810,476,479
811,477,478
812,478,477
813,479,478
814,480,478
815,481,477
816,482,476
817,482,475
818,483,474
819,484,473
820,485,473
821,485,474
822,485,475
823,484,476
824,484,477
825,484,478
826,484,479
827,484,480
828,484,481
829,484,482
830,484,483
831,484,484
832,484,485
833,485,486
834,486,485
835,486,486
836,486,487
837,485,488
838,484,489
839,483,490
840,482,490
841,481,491
842,481,492
843,482,493
844,483,494
845,484,495
846,484,496
847,485,497
848,485,498
849,485,499
850,486,500
851,486,501
852,486,502
853,487,503
854,488,504
855,489,504
856,490,504
857,491,504
858,492,503
859,493,502
860,492,501
861,492,500
862,493,499
863,494,500
864,495,500
865,496,500
866,497,500
867,498,500
868,499,500
869,500,501
870,501,501
871,502,500
872,502,501
873,503,502
874,504,502
875,505,502
876,506,501
877,506,502
878,506,500
879,507,499
880,507,498
881,507,497
882,508,496
883,509,496
884,510,495
885,511,495
886,512,495
887,513,495
888,514,494
889,515,494
890,516,493
891,517,494
892,518,494
893,519,495
894,520,496
895,521,496
896,522,496
897,523,495
898,524,494
899,525,494
900,526,494
901,526,495
902,526,496
903,526,497
904,526,498
905,526,499
906,527,500
907,528,500
908,529,499
909,530,499
910,531,498
911,532,498
912,533,498
913,534,497
914,535,498
915,536,497
916,536,496
917,537,495
918,538,494
919,539,494
920,540,493
921,541,493
922,542,492
923,542,491
924,543,490
925,544,489
926,545,488
927,546,489
928,546,490
929,547,491
930,548,491
931,549,491
932,549,492
933,549,493
934,550,494
935,550,495
936,551,496
937,552,495
938,553,494
939,554,493
940,554,492
941,555,491
942,556,490
943,557,489
944,557,488
945,557,487
946,557,486
947,558,485
948,559,484
949,559,485
950,559,486
951,560,487
952,560,488
953,560,489
954,560,490
955,559,491
956,558,492
957,558,493
958,557,494
959,557,495
960,556,496
961,557,497
962,557,498
963,558,499
964,559,499
965,560,499
966,561,500
967,562,500
968,563,500
969,564,500
970,565,499
971,566,498
972,566,497
973,566,496
974,567,495
975,567,494
976,567,493
977,567,492
978,568,491
979,568,490
980,569,489
981,570,489
982,571,488
983,572,488
984,573,488
985,574,489
986,575,490
987,576,491
988,577,490
989,578,489
990,578,488
991,578,487
992,579,486
993,580,486
994,581,485
995,582,485
996,583,484
997,583,485
998,583,483
999,583,482
1000,584,481
1001,585,480
1002,585,479
1003,586,478
1004,587,477
1005,588,476
1006,589,475
1007,589,474
1008,590,473
1009,590,472
1010,590,471
1011,590,470
1012,590,469
1013,591,468
1014,591,467
1015,592,466
1016,592,465
1017,592,464
1018,592,463
1019,593,462
1020,594,461
1021,594,460
1022,593,459
1023,592,458
1024,591,458
1025,590,457
1026,589,457
1027,588,457
1028,587,457
1029,586,457
1030,587,456
1031,587,455
1032,588,454
